ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
1567685.0,1000879.0,120960.0,16528.0,33824.0,2739876.0,16.692346018019045,54.570072879439756,2725732,14144.0,8469.0,171244.47999999998,2279875.0,121787.12,38923.32,206.16,4037.0,0.0,2624542.08
445569.0,820161.0,17767.0,1866.0,14555.0,1299918.0,42.655071630586406,112.25412278926913,1289204,10714.0,852.0,88825.52,1096050.0,70292.88,38797.68,54.84,6208.0,0.0,1301080.92
24126.0,46.0,17.0,0.0,43.0,24232.0,6.184614520776599,24.251751254585553,24209,23.0,19.0,9147.0,13330.0,1672.0,64.0,0.0,0.0,0.0,24232.0
52971.0,9497.0,30.0,0.0,58.0,62556.0,5.553671463702625,20.71853886384081,62520,36.0,438.0,15849.0,40869.0,4644.0,741.0,5.0,0.0,0.0,62546.0
51066.0,539.0,866.0,10776.0,6974.0,70221.0,12.703590133239262,41.23521807972435,68205,2016.0,7452.0,10.0,61329.0,0.0,0.0,0.0,0.0,0.0,68791.0
52565.0,8279.0,31.0,1306.0,55.0,62236.0,5.891708288681968,22.316716713838876,62203,33.0,20.0,16357.0,40742.0,4486.0,630.0,0.0,0.0,0.0,62235.0
336841.0,225769.0,347.0,3585.0,368.0,566910.0,16.125183143749393,52.517847544006315,566705,205.0,2076.0,107705.0,423114.0,24112.0,9818.0,40.0,588.0,0.0,567453.0
107883.0,21379.0,49.0,4887.0,133.0,134331.0,10.302247104839328,34.367121821250166,134216,115.0,2177.0,35206.0,85248.0,10828.0,746.0,0.0,43.0,0.0,134248.0
20774.0,4548.0,0.0,0.0,100.0,25422.0,4.444467754793774,17.418451079368708,25335,87.0,2062.0,8475.0,13685.0,1133.0,67.0,0.0,0.0,0.0,25422.0
29765.0,4030.0,23.0,0.0,9.0,33827.0,4.724302778829112,18.41535244687765,33825,2.0,1832.0,11498.0,18415.0,2002.0,56.0,0.0,0.0,0.0,33803.0
15826.0,31305.0,513.0,5848.0,701.0,54193.0,15.994061954006705,48.42532103828204,53601,592.0,7434.0,6535.0,32501.0,17.0,5.0,4.0,10.0,0.0,46506.0
15663.0,0.0,14.0,0.0,34.0,15711.0,4.353174900044055,16.294104815837528,15688,23.0,10.0,5111.0,9390.0,1165.0,35.0,0.0,0.0,0.0,15711.0
148970.0,12076.0,2480.0,37.0,2282.0,165845.0,8.933318322823283,31.91312298660578,164084,1761.0,35.0,6.0,166655.0,19.0,10.0,6.0,9.0,0.0,166740.0
56597.0,17191.0,4.0,150.0,8.0,73950.0,6.323160981949705,23.13653864847733,73950,0.0,545.0,14460.0,52852.0,5139.0,958.0,0.0,0.0,0.0,73954.0
47790.0,28161.0,997.0,10381.0,3051.0,90380.0,14.882265766507492,49.79160519138556,88077,2303.0,4133.0,987.0,77148.0,84.0,1582.0,2.0,22.0,0.0,83958.0
64886.0,24156.0,876.0,3576.0,1572.0,95066.0,13.867842232252002,44.913957131788514,93909,1157.0,4670.0,4618.0,84304.0,73.0,1062.0,1.0,8.0,0.0,94736.0
73131.0,17538.0,45.0,8.0,568.0,91290.0,6.976877486214764,28.699559509630678,91265,25.0,53.0,19677.0,64061.0,7192.0,314.0,0.0,0.0,0.0,91297.0
48161.0,434.0,722.0,808.0,1173.0,51298.0,7.050796578649686,27.59549302299609,50543,755.0,531.0,2.0,51056.0,0.0,0.0,0.0,0.0,0.0,51589.0
11306.0,428.0,354.0,21.0,448.0,12557.0,2.684668505334274,9.347207842190002,12193,364.0,7.0,3.0,12544.0,0.0,1.0,0.0,2.0,0.0,12557.0
18927.0,100.0,381.0,4092.0,3264.0,26764.0,8.677326900880571,28.939093063577776,26304,460.0,161.0,1625.0,24972.0,1.0,1.0,0.0,0.0,0.0,26760.0
322662.0,174296.0,3059.0,5951.0,644.0,506612.0,15.077800919408592,47.84766256547095,506000,612.0,8456.0,124468.0,345225.0,20328.0,6845.0,23.0,668.0,0.0,506013.0
32567.0,3598.0,19.0,915.0,34.0,37133.0,4.058899015580628,16.309923503967603,37124,9.0,1234.0,10531.0,22817.0,2422.0,109.0,0.0,0.0,0.0,37113.0
21618.0,2837.0,648.0,1.0,2934.0,28038.0,19.10492102645171,63.965925574153744,27272,766.0,12.0,607.0,30902.0,6.0,0.0,0.0,0.0,0.0,31527.0
129717.0,83.0,121.0,13.0,98.0,130032.0,8.307214637543202,33.4209747934719,129944,88.0,6.0,34672.0,83210.0,11779.0,362.0,3.0,0.0,0.0,130032.0
1568881.0,1025490.0,120008.0,17020.0,33147.0,2764546.0,16.794925434991658,55.06141695143392,2750430,14116.0,6902.0,162273.72,2288771.6,140226.12,56548.92,284.32,4309.0,0.0,2659315.68
447637.0,828411.0,17729.0,1883.0,14555.0,1310215.0,42.974776961427445,113.1433524754098,1299502,10713.0,847.0,81431.28,1078213.4,87358.88,56004.08,58.68,6427.0,0.0,1310340.32
24380.0,243.0,17.0,0.0,43.0,24683.0,6.284355435383139,24.703118860058403,24660,23.0,19.0,8844.0,13794.0,1915.0,111.0,0.0,0.0,0.0,24683.0
53321.0,9870.0,30.0,0.0,58.0,63279.0,5.602127567276613,20.95799636749445,63243,36.0,412.0,14854.0,41530.0,5418.0,1085.0,5.0,0.0,0.0,63304.0
51070.0,649.0,866.0,10960.0,6974.0,70519.0,12.696289361395674,41.41020981991258,68503,2016.0,2064.0,6582.0,61868.0,0.0,0.0,0.0,0.0,0.0,70514.0
52883.0,8680.0,31.0,1309.0,55.0,62958.0,5.945267054468535,22.575613003243586,62925,33.0,20.0,15563.0,41219.0,5199.0,956.0,0.0,0.0,0.0,62957.0
337825.0,234729.0,351.0,3673.0,374.0,576952.0,16.365408420405306,53.448126115625996,576747,205.0,2105.0,101598.0,429536.0,28698.0,14824.0,76.0,627.0,0.0,577464.0
108900.0,21706.0,49.0,4795.0,133.0,135583.0,10.372072065869386,34.687432371459764,135468,115.0,2187.0,32781.0,86757.0,12564.0,1162.0,0.0,44.0,0.0,135495.0
20894.0,4628.0,0.0,0.0,78.0,25600.0,4.464869672895974,17.54041175485166,25535,65.0,2032.0,8218.0,13944.0,1321.0,85.0,0.0,0.0,0.0,25600.0
30128.0,4161.0,23.0,40.0,9.0,34361.0,4.784095434078587,18.706060999413573,34359,2.0,1873.0,11233.0,18851.0,2305.0,82.0,0.0,0.0,0.0,34344.0
15957.0,32600.0,513.0,5869.0,689.0,55628.0,16.379048903362197,49.70759616034458,55048,580.0,7032.0,6761.0,34089.0,18.0,5.0,4.0,10.0,0.0,47919.0
15864.0,0.0,14.0,0.0,34.0,15912.0,4.3933834187878436,16.502564816345664,15889,23.0,10.0,4785.0,9719.0,1337.0,61.0,0.0,0.0,0.0,15912.0
148979.0,13030.0,2480.0,36.0,2282.0,166807.0,8.95860097015214,32.098238150241194,165046,1761.0,35.0,6.0,166710.0,31.0,10.0,5.0,10.0,0.0,166807.0
56933.0,17594.0,4.0,150.0,8.0,74689.0,6.365807425994047,23.367747601299843,74689,0.0,540.0,13644.0,53245.0,5924.0,1334.0,2.0,0.0,0.0,74689.0
47767.0,29776.0,997.0,10765.0,2983.0,92288.0,15.137568029498313,50.84274905844866,90053,2235.0,1531.0,3206.0,79087.0,92.0,2289.0,2.0,30.0,0.0,86237.0
64920.0,24944.0,876.0,3657.0,1560.0,95957.0,13.946569423268942,45.33491032014632,94812,1145.0,3468.0,5507.0,84978.0,78.0,1569.0,2.0,8.0,0.0,95610.0
