Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_conexion,Accesos por cada 100 hab,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Hasta 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Otros Mbps,Total suma Mbps
2023,3,Buenos Aires,237705,2784175,1740239,137921,68197,4968237,27,80,4962337,5900,27440,24820,242010,241310,246076,112159,3951660,122762,4968237
2023,3,Capital Federal,60765,1205339,167428,4629,29823,1467984,47,116,1465934,2050,516,4690,28089,50899,34061,6020,1343709,0,1467984
2023,3,Catamarca,7164,11066,54650,1384,91,74355,17,68,74354,1,71,224,3194,3893,4634,2124,60123,92,74355
2023,3,Chaco,16420,60058,54993,8267,2408,142146,11,42,142141,5,236,462,14076,12874,6895,2970,100544,4089,142146
2023,3,Chubut,26352,75460,25827,30521,9908,168068,25,84,167211,857,111,1470,44434,30908,24394,19608,30565,16578,168068
2023,3,Córdoba,125050,453994,417338,62514,10438,1069334,27,90,1069271,63,99,8691,126420,96257,52428,26058,742447,16934,1069334
2023,3,Corrientes,24253,83897,36032,10407,5240,159829,13,52,159826,3,67,2985,20810,20906,5494,4577,97014,7976,159829
2023,3,Entre Ríos,45384,157464,54794,24481,11170,293293,20,68,293273,20,107,4510,38962,49979,20312,22941,156482,0,293293
2023,3,Formosa,11230,18053,14904,16899,228,61314,9,38,61314,0,85,208,21919,11697,5045,274,21727,359,61314
2023,3,Jujuy,12627,51082,48350,4067,1251,117377,14,57,117377,0,58,1436,15685,11983,28956,288,56943,2028,117377
2023,3,La Pampa,6844,59063,32891,20014,1109,119921,32,99,119759,162,71,1358,47914,18238,14676,4081,31970,1613,119921
2023,3,La Rioja,3726,55494,22054,6395,32,87701,21,80,87697,4,18,459,1617,1989,24847,4798,53973,0,87701
2023,3,Mendoza,17677,73066,178719,27609,951,298022,14,52,297292,730,104,2948,36236,20942,30636,8032,193600,5524,298022
2023,3,Misiones,27934,79087,70003,12928,7183,197135,15,55,197135,0,51,3302,32953,22315,11900,3862,113860,8892,197135
2023,3,Neuquén,24527,73329,39243,24085,3089,164273,23,79,163834,439,170,981,37758,13937,11582,2377,84209,13259,164273
2023,3,Río Negro,22422,50429,56668,16864,17102,163485,21,68,162970,515,112,1061,29201,15014,21182,22752,59206,14957,163485
2023,3,Salta,29113,98324,59914,12337,6545,206233,13,57,206228,5,115,1190,29305,67060,4059,78,97627,6799,206233
2023,3,San Juan,12669,19376,42383,22317,6985,103730,12,50,103483,247,24,2021,21090,12882,12564,1440,31081,22628,103730
2023,3,San Luis,4037,41624,24525,78431,299,148916,28,98,148751,165,60,628,11398,23818,10926,74914,18688,8484,148916
2023,3,Santa Cruz,8376,23931,11270,3660,750,47987,12,40,47800,187,50,6722,10612,10853,9565,3643,6542,0,47987
2023,3,Santa Fe,108503,397854,336013,44545,13437,900352,24,79,900246,106,468,7174,85897,168711,65489,20333,534474,17806,900352
2023,3,Santiago Del Estero,9412,80919,21745,6916,2936,121928,12,48,121926,2,180,1199,15100,54503,28456,806,20734,950,121928
2023,3,Tierra Del Fuego,9357,45203,3682,157,332,58731,31,105,58426,305,22,834,10550,12731,20384,5150,4040,5020,58731
2023,3,Tucumán,46348,20545,195053,4088,523,266557,15,61,266530,27,39,1236,20378,25026,25523,1633,192051,671,266557
2023,2,Buenos Aires,265537,2766463,1645945,138405,69138,4885488,27,79,4879442,6046,28007,24674,246067,253078,245505,107502,3883235,97420,4885488
2023,2,Capital Federal,68348,1218631,136295,4504,29900,1457678,47,115,1455578,2100,516,4422,27827,54111,34364,6189,1330249,0,1457678
2023,2,Catamarca,7637,10700,53177,1384,92,72990,17,67,72989,1,71,226,3329,4076,4788,2285,58048,167,72990
2023,2,Chaco,19115,59944,51955,8267,2574,141855,11,42,141850,5,236,475,14630,14176,7446,3008,97897,3987,141855
2023,2,Chubut,33702,73689,16111,30521,9938,163961,25,82,163078,883,109,1467,45798,31021,24750,17708,28859,14249,163961
2023,2,Córdoba,129303,453924,411703,62391,10430,1067751,27,90,1067686,65,99,8627,126496,99026,52240,25144,712647,43472,1067751
2023,2,Corrientes,26821,82977,32834,10407,5255,158294,13,52,158290,4,67,2945,21781,22144,5937,4593,93048,7779,158294
2023,2,Entre Ríos,46503,142562,49251,24461,11170,273947,19,64,273927,20,107,4377,39693,49240,20231,22661,137638,0,273947
2023,2,Formosa,11934,17678,13698,16813,227,60350,9,38,60350,0,84,186,21944,11825,5202,300,20428,381,60350
2023,2,Jujuy,13749,51082,47289,4067,1255,117442,14,57,117442,0,58,1440,16174,12344,29181,300,55867,2078,117442
2023,2,La Pampa,7254,59101,31449,19993,1113,118910,32,98,118744,166,68,1365,48635,18475,14999,4266,29134,1968,118910
2023,2,La Rioja,4152,55148,21245,6395,32,86972,21,80,86968,4,18,454,1719,2236,24737,4888,52920,0,86972
2023,2,Mendoza,25299,71931,171857,27609,980,297676,14,52,296921,755,103,2945,36286,20985,33217,12649,176628,14863,297676
2023,2,Misiones,28897,82058,64406,12927,7183,195471,15,55,195471,0,51,3247,34144,22649,12055,3862,110815,8648,195471
2023,2,Neuquén,26379,73040,35171,24046,3110,161746,23,78,161289,457,168,984,38006,13946,13275,6649,85749,2969,161746
2023,2,Río Negro,26390,49684,53325,16864,17116,163379,21,68,162848,531,111,1070,29535,15050,20561,22752,58834,15466,163379
2023,2,Salta,30666,97501,58275,12337,6549,205328,13,57,205323,5,114,1042,29687,67966,4523,94,95063,6839,205328
2023,2,San Juan,21483,20200,25217,23545,7004,97449,12,47,97189,260,24,2020,21766,12810,13276,10042,21369,16142,97449
2023,2,San Luis,4937,41949,15595,77960,307,140748,26,93,140575,173,60,624,11543,23932,12756,74914,15090,1829,140748
2023,2,Santa Cruz,9019,23896,11269,3660,758,48602,12,41,48410,192,49,6720,10609,11253,9733,3667,6315,256,48602
2023,2,Santa Fe,126344,399669,311166,44134,14501,895814,24,78,895706,108,468,7021,89275,172672,71957,24123,499408,30890,895814
2023,2,Santiago Del Estero,10629,80086,17244,6916,2934,117809,11,47,117807,2,178,1152,16847,55281,26520,766,16066,999,117809
2023,2,Tierra Del Fuego,12392,45224,525,157,337,58635,31,106,58325,310,22,831,10556,12748,20962,4707,3901,4908,58635
2023,2,Tucumán,50019,20012,188986,4060,525,263602,15,60,263573,29,39,1091,21163,27206,25910,1661,185887,645,263602
2023,1,Buenos Aires,304583,2761043,1551074,132458,71770,4820928,26,79,4814729,6199,28615,25137,249864,264388,241923,104495,3810940,95566,4820928
2023,1,Capital Federal,132149,1223930,156222,4605,31823,1548729,50,122,1546584,2145,516,4500,28668,60061,34974,7859,1305284,106867,1548729
2023,1,Catamarca,6980,10655,50230,1384,2243,71492,16,66,71491,1,71,221,2192,4352,3794,2607,55944,2311,71492
2023,1,Chaco,21243,60727,49756,8142,2574,142442,11,43,142437,5,236,544,15113,15190,7729,3020,96663,3947,142442
2023,1,Chubut,45448,73525,9815,30521,10744,170053,26,85,169149,904,109,1598,45794,30947,25072,17700,28259,20574,170053
2023,1,Córdoba,136976,455139,386297,61066,10494,1049972,27,88,1049904,68,99,8844,131774,103063,57176,24960,690566,33490,1049972
2023,1,Corrientes,29577,81116,30016,11071,5240,157020,13,52,157016,4,67,3074,22517,23420,6349,4601,88008,8984,157020
2023,1,Entre Ríos,51084,141699,44508,26415,11172,274878,19,64,274856,22,107,4525,41215,51664,20667,22680,134020,0,274878
2023,1,Formosa,12502,17421,13345,17490,227,60985,9,38,60985,0,84,192,22016,11922,6229,273,19567,702,60985
2023,1,Jujuy,15306,51082,46271,4067,1255,117981,14,58,117981,0,58,1598,16842,12856,29386,306,54859,2076,117981
2023,1,La Pampa,7049,59944,28126,20103,1282,116504,31,96,116333,171,68,1399,50313,11510,10525,4423,21308,16958,116504
2023,1,La Rioja,4652,54604,20722,6395,32,86405,21,79,86401,4,18,502,1892,2470,24551,4949,52023,0,86405
2023,1,Mendoza,37646,73678,152534,27592,1569,293019,14,51,292242,777,103,2945,32767,20813,30657,15046,169502,21186,293019
2023,1,Misiones,30455,82834,56619,12896,7881,190685,14,53,190685,0,51,3448,34762,21817,11881,3881,106601,8244,190685
2023,1,Neuquén,28030,72639,32296,23937,3510,160412,23,78,159944,468,168,986,38414,13933,13192,6195,85257,2267,160412
2023,1,Río Negro,33604,49128,45329,16857,19413,164331,21,69,163783,548,111,1076,29515,15171,18697,12079,57910,29772,164331
2023,1,Salta,33427,96922,56259,12269,6549,205426,13,57,205421,5,114,1096,30564,69436,4822,104,92512,6778,205426
2023,1,San Juan,38568,21215,12798,21912,7274,101767,12,49,101486,281,24,2020,30051,11221,14799,10268,21544,11840,101767
2023,1,San Luis,6283,42789,6952,78954,485,135463,25,90,135281,182,60,624,11680,24133,13659,75904,6050,3353,135463
2023,1,Santa Cruz,9702,23839,12217,3660,943,50361,12,43,50163,198,51,6810,11528,11380,9861,3697,5990,1044,50361
2023,1,Santa Fe,138935,405618,283988,43487,14246,886274,24,78,886164,110,468,7655,98198,180708,75061,26306,479777,18101,886274
2023,1,Santiago Del Estero,11642,80407,16656,6916,2934,118555,11,47,118553,2,178,1186,21551,57189,21277,734,15447,993,118555
2023,1,Tierra Del Fuego,12754,43146,405,157,651,57113,30,104,56801,312,22,831,10944,13048,21348,3959,2386,4575,57113
2023,1,Tucumán,55822,19482,180976,4293,527,261100,14,60,261070,30,39,1237,23379,29629,25565,1723,164402,15126,261100
2022,4,Buenos Aires,325908,2767247,1499149,129910,72451,4794665,26,78,4788466,6199,28934,23347,259866,281550,244555,98670,3760109,97634,4794665
2022,4,Capital Federal,138753,1238196,138548,4603,31826,1551926,50,122,1549781,2145,516,5096,31320,64653,36336,8116,1299117,106772,1551926
2022,4,Catamarca,8952,10998,47337,1379,2243,70909,16,65,70908,1,71,315,2716,5028,4638,3122,52739,2280,70909
2022,4,Chaco,24582,61265,47285,7957,2574,143663,11,43,143658,5,461,771,16067,17846,6704,3039,94866,3909,143663
2022,4,Chubut,45450,73923,9815,30721,8850,168759,26,85,167855,904,109,1614,46457,31007,34728,15770,19048,20026,168759
2022,4,Córdoba,152265,456947,367393,61631,11424,1049660,27,89,1049592,68,99,9929,143686,108195,63120,20691,686330,17610,1049660
2022,4,Corrientes,34038,80283,26752,9082,5298,155453,13,51,155449,4,67,3282,22647,24858,7025,3770,85806,7998,155453
2022,4,Entre Ríos,55507,135746,40798,26414,12509,270974,19,64,270952,22,107,4722,45629,46700,20927,22483,130406,0,270974
2022,4,Formosa,13735,17068,13118,17692,227,61840,10,39,61840,0,84,245,22458,12391,6724,310,18930,698,61840
2022,4,Jujuy,17880,52390,42626,4067,1255,118218,14,58,118218,0,58,1763,18652,14070,36430,335,46910,0,118218
2022,4,La Pampa,7785,60566,24552,19995,1266,114164,31,94,113993,171,68,1687,52618,10334,9167,4479,19783,16028,114164
2022,4,La Rioja,6120,54387,19328,6395,32,86262,21,79,86258,4,18,595,2531,3010,24435,5029,50644,0,86262
2022,4,Mendoza,37655,77814,147080,27607,1948,292104,14,51,291327,777,103,2954,35541,20355,35935,14909,161163,21144,292104
2022,4,Misiones,33204,87202,46885,11075,7903,186269,14,52,186269,0,51,3510,35622,21373,12196,3182,101745,8590,186269
2022,4,Neuquén,28609,72679,31567,23815,3510,160180,23,78,159712,468,168,994,38814,13960,13008,5739,85247,2250,160180
2022,4,Río Negro,34043,48401,43958,16277,19413,162092,21,68,161544,548,111,1081,32053,13931,20442,7335,57495,29644,162092
2022,4,Salta,36939,97023,53470,11884,6544,205860,14,57,205855,5,114,1197,31530,71105,5036,117,90014,6747,205860
2022,4,San Juan,38570,22913,12491,21912,7940,103826,12,50,103545,281,24,2027,30069,11247,20440,8188,19991,11840,103826
2022,4,San Luis,6283,43460,3409,81557,511,135220,25,90,135028,192,60,624,11785,24684,13981,78506,2227,3353,135220
2022,4,Santa Cruz,9702,23876,12217,3746,662,50203,12,43,50005,198,51,6810,11616,11509,10374,3236,5559,1048,50203
2022,4,Santa Fe,163621,412157,248558,44113,19242,887691,24,78,887581,110,468,9374,115767,194420,73345,22899,453078,18340,887691
2022,4,Santiago Del Estero,13577,80955,15117,6911,2934,119494,11,48,119492,2,178,1267,26183,58136,17735,661,14345,989,119494
2022,4,Tierra Del Fuego,12754,41293,405,157,651,55260,30,101,54948,312,22,902,11649,13634,21365,3612,1812,2264,55260
2022,4,Tucumán,69441,20668,168717,4069,527,263422,15,61,263392,30,39,1562,29996,35425,26369,1375,153538,15118,263422
2022,3,Buenos Aires,339648,2748325,1436433,126846,70416,4721668,26,78,4715469,6199,29985,27709,290315,297915,267044,124190,3618689,65821,4721668
2022,3,Capital Federal,140791,1240125,129218,5758,31787,1547679,50,122,1545534,2145,517,5742,34371,67829,51946,28692,1253105,105477,1547679
2022,3,Catamarca,10010,10495,46224,1329,2235,70293,16,65,70292,1,71,384,3107,5389,5099,3737,50298,2208,70293
2022,3,Chaco,27164,61800,44645,8178,2359,144146,11,43,144141,5,461,987,16782,18938,8049,15828,79390,3711,144146
2022,3,Chubut,45377,72212,9574,29784,8831,165778,25,84,164874,904,109,1444,45707,30940,34682,15309,17563,20024,165778
2022,3,Córdoba,163770,465461,338570,61070,9797,1038668,27,88,1038600,68,99,11312,153324,111615,70989,27112,650344,13873,1038668
2022,3,Corrientes,36508,77140,18619,7256,5323,144846,12,48,144842,4,67,3865,23427,23948,7776,21706,56950,7107,144846
2022,3,Entre Ríos,60345,132952,36971,26098,12593,268959,19,63,268937,22,107,5549,47210,46855,18263,32021,102195,16759,268959
2022,3,Formosa,14470,25880,11041,16935,212,68538,11,43,68537,1,97,307,23538,19545,6194,564,17704,589,68538
2022,3,Jujuy,19257,52978,40172,4033,2383,118823,15,58,118823,0,58,1879,19135,15254,36083,519,45895,0,118823
2022,3,La Pampa,7796,60078,23551,20216,4451,116092,31,96,115921,171,68,1887,61540,9653,11592,5609,22731,3012,116092
2022,3,La Rioja,6842,53899,19697,6395,31,86864,21,80,86860,4,18,689,2842,3375,24219,5331,50390,0,86864
2022,3,Mendoza,37659,78858,142615,27625,2766,289523,14,51,288746,777,103,2953,44232,21977,48201,17243,150043,4771,289523
2022,3,Misiones,35513,88902,39046,11074,7622,182157,14,51,182157,0,51,3749,36628,20758,12676,19615,80330,8350,182157
2022,3,Neuquén,29352,75815,29396,27482,1116,163161,23,80,162693,468,134,991,38485,14080,9200,6700,78713,14858,163161
2022,3,Río Negro,35552,48260,41017,16760,18969,160558,20,67,160010,548,111,1221,32936,17860,27934,13629,42596,24271,160558
2022,3,Salta,40006,96984,50254,10082,7215,204541,13,57,204536,5,114,1490,32923,71199,5662,1001,85661,6491,204541
2022,3,San Juan,38570,22723,12328,21860,7918,103399,12,50,103118,281,24,2027,30324,11247,22157,6780,19221,11619,103399
2022,3,San Luis,6860,29363,248,70614,14985,122070,23,81,121888,182,60,307,6563,20813,12061,67438,13,14815,122070
2022,3,Santa Cruz,10170,24047,10815,3896,582,49510,12,43,49312,198,52,6841,12342,11313,11378,2333,4604,647,49510
2022,3,Santa Fe,183740,426255,215189,43079,19547,887810,24,78,887700,110,468,11132,132709,198588,70897,57455,396352,20209,887810
2022,3,Santiago Del Estero,15385,80937,13170,6618,2922,119032,11,47,119030,2,178,1384,28357,58982,16087,910,12342,792,119032
2022,3,Tierra Del Fuego,12754,39963,403,125,651,53896,29,99,53584,312,22,831,12002,14815,20102,1752,1021,3351,53896
2022,3,Tucumán,77738,18518,162345,3997,519,263117,15,61,263087,30,39,2047,32571,39018,25214,4348,159600,280,263117
2022,2,Buenos Aires,350652,2719613,1399043,126847,71028,4667183,26,77,4660984,6199,30639,28323,295238,307554,273954,129869,3535757,65849,4667183
2022,2,Capital Federal,145491,1232226,121506,5757,31791,1536771,49,121,1534626,2145,517,5980,36036,72434,55372,31571,1229254,105607,1536771
2022,2,Catamarca,11928,9430,42087,1329,2234,67008,15,62,67007,1,71,413,3678,6155,7165,3393,43926,2207,67008
2022,2,Chaco,29552,61284,42194,8178,2356,143564,11,43,143559,5,461,1047,17603,20109,8391,15974,76271,3708,143564
2022,2,Chubut,45377,69242,9574,29784,8828,162805,25,83,161901,904,109,1444,45804,31217,34290,14526,15394,20021,162805
2022,2,Córdoba,179181,467595,308895,61107,9657,1026435,26,87,1026367,68,99,11971,160486,120485,71923,28645,619400,13426,1026435
2022,2,Corrientes,38468,75769,18181,7256,5323,144997,12,48,144993,4,67,3937,24253,24842,8001,21719,55071,7107,144997
2022,2,Entre Ríos,63794,131029,35839,26098,12592,269352,19,63,269330,22,107,5656,48637,48557,18512,32355,98769,16759,269352
2022,2,Formosa,15397,25487,9875,16910,212,67881,11,43,67881,0,97,407,23834,19706,6330,591,16326,590,67881
2022,2,Jujuy,20303,54495,34184,3955,2377,115314,14,57,115314,0,58,1829,19458,15790,37786,549,37391,2453,115314
2022,2,La Pampa,7796,59273,22994,20200,1264,111527,30,92,111356,171,68,1887,62546,9842,11800,5247,17125,3012,111527
2022,2,La Rioja,7759,52656,19189,6395,31,86030,21,80,86026,4,18,728,3179,3890,23814,5481,48920,0,86030
2022,2,Mendoza,37663,77504,135504,26964,1927,279562,13,49,278785,777,103,2954,44961,22557,64138,19543,121366,3940,279562
2022,2,Misiones,37208,89260,33649,11074,7622,178813,13,51,178813,0,51,3808,37254,21712,12774,19757,75107,8350,178813
2022,2,Neuquén,29749,74905,28824,27371,1119,161968,23,80,161500,468,134,999,38826,15066,9205,2039,76982,18717,161968
2022,2,Río Negro,36050,47040,40946,16760,18968,159764,20,67,159216,548,111,1227,33364,17938,27168,13714,41972,24270,159764
2022,2,Salta,42665,96178,47076,10068,7190,203177,13,57,203172,5,114,1530,33732,72661,6012,1156,81478,6494,203177
2022,2,San Juan,38570,19734,12328,21859,7916,100407,12,49,100126,281,24,2027,30385,11276,24649,3728,16701,11617,100407
2022,2,San Luis,6860,29034,248,70614,14985,121741,23,81,121559,182,60,306,6840,21217,11052,67438,13,14815,121741
2022,2,Santa Cruz,10170,23725,10815,3896,579,49185,12,43,48987,198,52,6841,12348,11369,11885,2454,3592,644,49185
