Año,Trimestre,Provincia,acceso_actual,nuevo_acceso,KPI
2014,1,Buenos Aires,54.57007287943976,55.06141695143392,0.9
2014,2,Buenos Aires,55.06141695143392,56.75473916407103,3.08
2014,3,Buenos Aires,56.75473916407103,56.09433653019754,-1.16
2014,4,Buenos Aires,56.09433653019754,56.37048433026737,0.49
2015,1,Buenos Aires,56.37048433026737,56.80280561439208,0.77
2015,2,Buenos Aires,56.80280561439208,57.68868105608009,1.56
2015,3,Buenos Aires,57.68868105608009,58.29182182733718,1.05
2015,4,Buenos Aires,58.29182182733718,57.33590782254113,-1.64
2016,1,Buenos Aires,57.33590782254113,59.33852679105808,3.49
2016,2,Buenos Aires,59.33852679105808,60.14329545468815,1.36
2016,3,Buenos Aires,60.14329545468815,61.236587430356856,1.82
2016,4,Buenos Aires,61.236587430356856,58.57400244920328,-4.35
2017,1,Buenos Aires,58.57400244920328,56.27214416169132,-3.93
2017,2,Buenos Aires,56.27214416169132,55.62938339533962,-1.14
2017,3,Buenos Aires,55.62938339533962,57.609615290258205,3.56
2017,4,Buenos Aires,57.609615290258205,62.62621166168454,8.71
2018,1,Buenos Aires,62.62621166168454,62.78226651094991,0.25
2018,2,Buenos Aires,62.78226651094991,64.44056759752046,2.64
2018,3,Buenos Aires,64.44056759752046,64.60284663484316,0.25
2018,4,Buenos Aires,64.60284663484316,66.24255522736811,2.54
2019,1,Buenos Aires,66.24255522736811,67.84713982374198,2.42
2019,2,Buenos Aires,67.84713982374198,69.35630106079125,2.22
2019,3,Buenos Aires,69.35630106079125,64.25205288245421,-7.36
2019,4,Buenos Aires,64.25205288245421,64.32563101743429,0.11
2020,1,Buenos Aires,64.32563101743429,65.2205801358229,1.39
2020,2,Buenos Aires,65.2205801358229,67.65618983090923,3.73
2020,3,Buenos Aires,67.65618983090923,68.97702220170737,1.95
2020,4,Buenos Aires,68.97702220170737,69.10524076185938,0.19
2021,1,Buenos Aires,69.10524076185938,70.00330336027972,1.3
2021,2,Buenos Aires,70.00330336027972,71.68218940101933,2.4
2021,3,Buenos Aires,71.68218940101933,75.66410602338475,5.55
2021,4,Buenos Aires,75.66410602338475,76.07814661157262,0.55
2022,1,Buenos Aires,76.07814661157262,77.58,1.97
2022,2,Buenos Aires,77.58,78.11,0.68
2022,3,Buenos Aires,78.11,78.94,1.06
2022,4,Buenos Aires,78.94,79.0,0.08
2023,1,Buenos Aires,79.0,79.67,0.85
2023,2,Buenos Aires,79.67,80.64,1.22
2014,1,Capital Federal,112.25412278926912,113.1433524754098,0.79
2014,2,Capital Federal,113.1433524754098,113.8005123324155,0.58
2014,3,Capital Federal,113.8005123324155,114.89676550801624,0.96
2014,4,Capital Federal,114.89676550801624,114.89699714890288,0.0
2015,1,Capital Federal,114.89699714890288,116.06627091860372,1.02
2015,2,Capital Federal,116.06627091860372,118.2892111643196,1.92
2015,3,Capital Federal,118.2892111643196,118.13036321153808,-0.13
2015,4,Capital Federal,118.13036321153808,115.16005888884816,-2.51
2016,1,Capital Federal,115.16005888884816,120.03953504825309,4.24
2016,2,Capital Federal,120.03953504825309,120.77287775101534,0.61
2016,3,Capital Federal,120.77287775101534,120.63133173632356,-0.12
2016,4,Capital Federal,120.63133173632356,108.36920836560806,-10.16
2017,1,Capital Federal,108.36920836560806,124.06139375642525,14.48
2017,2,Capital Federal,124.06139375642525,121.85832590969336,-1.78
2017,3,Capital Federal,121.85832590969336,122.89742418734993,0.85
2017,4,Capital Federal,122.89742418734993,106.23567174586836,-13.56
2018,1,Capital Federal,106.23567174586836,106.53494128146691,0.28
2018,2,Capital Federal,106.53494128146691,108.44591411021922,1.79
2018,3,Capital Federal,108.44591411021922,108.27314997057414,-0.16
2018,4,Capital Federal,108.27314997057414,109.19616455883845,0.85
2019,1,Capital Federal,109.19616455883845,110.54556699485232,1.24
2019,2,Capital Federal,110.54556699485232,112.6453878037209,1.9
2019,3,Capital Federal,112.6453878037209,106.24546751041056,-5.68
2019,4,Capital Federal,106.24546751041056,105.98017414181908,-0.25
2020,1,Capital Federal,105.98017414181908,106.41480599073644,0.41
2020,2,Capital Federal,106.41480599073644,107.6759011657323,1.19
2020,3,Capital Federal,107.6759011657323,108.31107489043508,0.59
2020,4,Capital Federal,108.31107489043508,108.4199392232935,0.1
2021,1,Capital Federal,108.4199392232935,110.14440203212098,1.59
2021,2,Capital Federal,110.14440203212098,111.27105514250894,1.02
2021,3,Capital Federal,111.27105514250894,111.27002612891737,-0.0
2021,4,Capital Federal,111.27002612891737,111.79786269174652,0.47
2022,1,Capital Federal,111.79786269174652,121.31,8.51
2022,2,Capital Federal,121.31,122.28,0.8
2022,3,Capital Federal,122.28,122.73,0.37
2022,4,Capital Federal,122.73,122.59,-0.11
2023,1,Capital Federal,122.59,115.48,-5.8
2023,2,Capital Federal,115.48,116.4,0.8
2014,1,Catamarca,24.251751254585557,24.703118860058403,1.86
2014,2,Catamarca,24.703118860058403,24.706121305327624,0.01
2014,3,Catamarca,24.706121305327624,25.513779082748,3.27
2014,4,Catamarca,25.513779082748,25.10946633078758,-1.58
2015,1,Catamarca,25.10946633078758,25.45341804469818,1.37
2015,2,Catamarca,25.45341804469818,25.863781184637624,1.61
2015,3,Catamarca,25.863781184637624,26.23945178859185,1.45
2015,4,Catamarca,26.23945178859185,25.910217981190534,-1.25
2016,1,Catamarca,25.910217981190534,26.07418805974065,0.63
2016,2,Catamarca,26.07418805974065,26.48067675746367,1.56
2016,3,Catamarca,26.48067675746367,26.543515589961917,0.24
2016,4,Catamarca,26.543515589961917,25.659350838021503,-3.33
2017,1,Catamarca,25.659350838021503,25.97712106768351,1.24
2017,2,Catamarca,25.97712106768351,32.49092567790524,25.08
2017,3,Catamarca,32.49092567790524,28.620950093924897,-11.91
2017,4,Catamarca,28.620950093924897,32.79361613741535,14.58
2018,1,Catamarca,32.79361613741535,32.8575008674866,0.19
2018,2,Catamarca,32.8575008674866,32.91594537411041,0.18
2018,3,Catamarca,32.91594537411041,32.225346166025346,-2.1
2018,4,Catamarca,32.225346166025346,32.190488956121285,-0.11
2019,1,Catamarca,32.190488956121285,32.13095022019278,-0.18
2019,2,Catamarca,32.13095022019278,30.883614526737205,-3.88
2019,3,Catamarca,30.883614526737205,36.43842912715547,17.99
2019,4,Catamarca,36.43842912715547,37.615427687460254,3.23
2020,1,Catamarca,37.615427687460254,45.43181818181818,20.78
2020,2,Catamarca,45.43181818181818,47.15709898417198,3.8
2020,3,Catamarca,47.15709898417198,49.40688354549741,4.77
2020,4,Catamarca,49.40688354549741,48.89909292784824,-1.03
2021,1,Catamarca,48.89909292784824,52.34030966263861,7.04
2021,2,Catamarca,52.34030966263861,52.70979348600128,0.71
2021,3,Catamarca,52.70979348600128,55.2526999859741,4.82
2021,4,Catamarca,55.2526999859741,58.20635083561171,5.35
2022,1,Catamarca,58.20635083561171,62.4,7.2
2022,2,Catamarca,62.4,65.33,4.7
2022,3,Catamarca,65.33,65.77,0.67
2022,4,Catamarca,65.77,66.17,0.61
2023,1,Catamarca,66.17,67.42,1.89
2023,2,Catamarca,67.42,68.55,1.68
2014,1,Chaco,20.71853886384081,20.95799636749445,1.16
2014,2,Chaco,20.95799636749445,21.112666705262427,0.74
2014,3,Chaco,21.112666705262427,21.87078320023224,3.59
2014,4,Chaco,21.87078320023224,26.649591220305552,21.85
2015,1,Chaco,26.649591220305552,27.46453938839946,3.06
2015,2,Chaco,27.46453938839946,27.96307279347941,1.82
2015,3,Chaco,27.96307279347941,28.35056623514143,1.39
2015,4,Chaco,28.35056623514143,28.07514644775236,-0.97
2016,1,Chaco,28.07514644775236,28.5935505552226,1.85
2016,2,Chaco,28.5935505552226,28.910749068480957,1.11
2016,3,Chaco,28.910749068480957,28.786656085255263,-0.43
2016,4,Chaco,28.786656085255263,28.62166053842791,-0.57
2017,1,Chaco,28.62166053842791,29.045524775453423,1.48
2017,2,Chaco,29.045524775453423,29.975925647657625,3.2
2017,3,Chaco,29.975925647657625,30.808158111236537,2.78
2017,4,Chaco,30.808158111236537,30.829927645702472,0.07
2018,1,Chaco,30.829927645702472,31.25170499603489,1.37
2018,2,Chaco,31.25170499603489,32.283100833077576,3.3
2018,3,Chaco,32.283100833077576,32.59096087632982,0.95
2018,4,Chaco,32.59096087632982,32.635876579429485,0.14
2019,1,Chaco,32.635876579429485,34.14026097986763,4.61
2019,2,Chaco,34.14026097986763,35.8460309754608,5.0
2019,3,Chaco,35.8460309754608,36.835478630342415,2.76
2019,4,Chaco,36.835478630342415,37.483833369172615,1.76
2020,1,Chaco,37.483833369172615,39.83250279006581,6.27
2020,2,Chaco,39.83250279006581,41.54192057806515,4.29
2020,3,Chaco,41.54192057806515,43.03078864977911,3.58
2020,4,Chaco,43.03078864977911,43.13649241708794,0.25
2021,1,Chaco,43.13649241708794,43.32762729293539,0.44
2021,2,Chaco,43.32762729293539,42.96241007967663,-0.84
2021,3,Chaco,42.96241007967663,44.04856389025934,2.53
2021,4,Chaco,44.04856389025934,44.05948009941883,0.02
2022,1,Chaco,44.05948009941883,43.79,-0.61
2022,2,Chaco,43.79,43.86,0.16
2022,3,Chaco,43.86,43.62,-0.55
2022,4,Chaco,43.62,43.15,-1.08
2023,1,Chaco,43.15,42.87,-0.65
2023,2,Chaco,42.87,42.87,0.0
2014,1,Chubut,41.23521807972435,41.41020981991258,0.42
2014,2,Chubut,41.41020981991258,40.59867094427454,-1.96
