Año,Trimestre,Ingresos (miles de pesos),Aumento_trimestral_en_base_al_anterior,Aumento_trimestral_absoluto,Tasa_Crecimiento_Trimestral,Aumento_>=_10%
2014,1,2984054,966386,-966386,-24.462743390609653,False
2014,2,3270816,286761,286762,9.6098126910572,False
2014,3,3478637,207821,207821,6.353796728400497,False
2014,4,3950440,471803,471803,13.56286959518915,True
2015,1,4876385,500513,-500514,-9.308599622198594,False
2015,2,4701790,174594,-174595,-3.5804186913051375,False
2015,3,5153738,451948,451948,9.612254056433827,False
2015,4,5376899,223160,223161,4.330080419299545,False
2016,1,5936844,1547135,-1547136,-20.67263675210249,False
2016,2,6534240,597395,597396,10.06251806515381,True
2016,3,6912441,378200,378201,5.787987585396313,False
2016,4,7483980,571538,571539,8.268265870189706,False
2017,1,8701201,2524925,-2524926,-22.491514660398906,False
2017,2,9678646,977445,977445,11.233449267520657,True
2017,3,10065997,387350,387351,4.002119717985346,False
2017,4,11226127,1160129,1160130,11.525236894070206,True
2018,1,13171459,3466227,-3466227,-20.833588276638952,False
2018,2,14319467,1148008,1148008,8.715875743150397,False
2018,3,15410980,1091513,1091513,7.622581203616028,False
2018,4,16637686,1226705,1226706,7.9599480370489095,False
2019,1,20207413,3961836,-3961837,-16.392056021597693,False
2019,2,20743117,535703,535704,2.651027125540513,False
2019,3,21652748,909630,909631,4.385218479942045,False
2019,4,24169250,2516502,2516502,11.622090646415872,True
2020,1,29946216,3593486,-3593486,-10.714126201836855,False
2020,2,32102475,2156259,2156259,7.200438946944081,False
2020,3,31997444,105031,-105031,-0.3271741509026952,False
2020,4,33539702,1542258,1542258,4.8199412428067685,False
2021,1,36676371,8791515,-8791516,-19.335659913116263,False
2021,2,38239666,1563295,1563295,4.262403714914979,False
2021,3,42999944,4760277,4760278,12.448534461571919,True
2021,4,45467887,2467942,2467943,5.7394098001616,False
2022,1,55219313,17224169,-17224169,-23.776009275755133,False
2022,2,60419500,5200187,5200187,9.4173337506028,False
2022,3,64086784,3667283,3667284,6.069702662219979,False
2022,4,72443482,8356698,8356698,13.03965884760265,True
2023,2,118060280,45616797,45616798,62.96880925740152,True
2023,3,133106593,15046313,15046313,12.74460216425033,True
