Año,Trimestre,Provincia,Accesos por cada 100 hab,Total suma Mbps,CrecimientoAcceso
2023,1,Tucumán,14,261100,-6.67
2023,2,Tucumán,15,263602,7.14
2023,3,Tucumán,15,266557,0.0
2022,1,Tucumán,14,245584,7.69
2022,2,Tucumán,14,254527,0.0
2022,3,Tucumán,15,263117,7.14
2022,4,Tucumán,15,263422,0.0
2021,1,Tucumán,13,231912,0.0
2021,2,Tucumán,13,233051,0.0
2021,3,Tucumán,13,232472,0.0
2021,4,Tucumán,13,238639,0.0
2020,1,Tucumán,11,200449,0.0
2020,2,Tucumán,12,217156,9.09
2020,3,Tucumán,13,223876,8.33
2020,4,Tucumán,13,231089,0.0
2019,1,Tucumán,10,172217,0.0
2019,2,Tucumán,9,166673,-10.0
2019,3,Tucumán,9,164444,0.0
2019,4,Tucumán,11,198644,22.22
2018,1,Tucumán,10,167984,11.11
2018,2,Tucumán,10,169850,0.0
2018,3,Tucumán,10,171040,0.0
2018,4,Tucumán,10,172004,0.0
2017,1,Tucumán,9,152750,0.0
2017,2,Tucumán,9,154390,0.0
2017,3,Tucumán,9,159959,0.0
2017,4,Tucumán,9,162248,0.0
2016,1,Tucumán,9,146613,0.0
2016,2,Tucumán,9,148926,0.0
2016,3,Tucumán,9,151304,0.0
2016,4,Tucumán,9,151631,0.0
2015,1,Tucumán,8,138262,0.0
2015,2,Tucumán,8,140670,0.0
2015,3,Tucumán,9,144301,12.5
2015,4,Tucumán,9,146080,0.0
2014,1,Tucumán,8,130032,0.0
2014,2,Tucumán,8,132059,0.0
2014,3,Tucumán,8,132054,0.0
2014,4,Tucumán,8,137414,0.0
2023,1,Tierra Del Fuego,30,57113,0.0
2023,2,Tierra Del Fuego,31,58635,3.33
2023,3,Tierra Del Fuego,31,58731,0.0
2022,1,Tierra Del Fuego,29,52611,0.0
2022,2,Tierra Del Fuego,29,53770,0.0
2022,3,Tierra Del Fuego,29,53896,0.0
2022,4,Tierra Del Fuego,30,55260,3.45
2021,1,Tierra Del Fuego,22,40422,0.0
2021,2,Tierra Del Fuego,20,35693,-9.09
2021,3,Tierra Del Fuego,28,50223,40.0
2021,4,Tierra Del Fuego,29,52357,3.57
2020,1,Tierra Del Fuego,22,37606,-4.35
2020,2,Tierra Del Fuego,22,39189,0.0
2020,3,Tierra Del Fuego,22,39655,0.0
2020,4,Tierra Del Fuego,22,39614,0.0
2019,1,Tierra Del Fuego,27,43361,0.0
2019,2,Tierra Del Fuego,28,47895,3.7
2019,3,Tierra Del Fuego,28,48557,0.0
2019,4,Tierra Del Fuego,23,40392,-17.86
2018,1,Tierra Del Fuego,19,34409,11.76
