Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general,Longitud,Latitud
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,756,4600,0,3,0,742,0,726,6827,-60.1731209454056,-35.4339385892588
BUENOS AIRES,25 de Mayo,Del Valle,6854020,181,0,0,0,10,1,0,0,192,-60.7316089512944,-35.8973453887603
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,0,0,0,0,0,0,0,181,181,-60.0813577815069,-35.1643973648093
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,0,782,0,496,16,0,0,185,1479,-59.7719327250509,-35.2727788695321
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,0,0,0,0,0,0,0,6,6,-59.9880647932831,-35.4838272164734
BUENOS AIRES,25 de Mayo,Ernestina,6854030,75,0,0,0,0,0,0,0,75,-59.5575034078873,-35.2702340519789
BUENOS AIRES,25 de Mayo,Pedernales,6854070,154,0,0,25,21,0,0,7,207,-59.6306574695384,-35.2666085074294
BUENOS AIRES,9 de Julio,12 de Octubre,6588030,0,0,0,0,0,0,0,19,19,-60.9182929927645,-35.607730780146
BUENOS AIRES,9 de Julio,9 de Julio,6588100,4241,3556,80,6237,0,0,0,831,14945,-60.8843433362719,-35.4447435053964
BUENOS AIRES,9 de Julio,Dudignac,6588040,0,0,0,0,0,0,0,474,474,-60.7098962799094,-35.6511928511123
BUENOS AIRES,9 de Julio,Patricios,6588110,81,0,0,0,0,0,0,50,131,-60.7174384712323,-35.4395526972374
BUENOS AIRES,9 de Julio,Morea,6588080,0,0,0,0,0,0,0,130,130,-60.5605940553161,-35.5563880098445
BUENOS AIRES,Adolfo Alsina,Carhué,6007010,766,0,1,1417,1,0,0,1066,3251,-62.7578962604015,-37.1774801030509
BUENOS AIRES,Adolfo Alsina,Maza,6007070,0,0,0,390,0,2,0,14,406,-63.3385151506224,-36.7999468137731
